iter	Passed	Remaining
1215	11272	7267
1216	11282	7258
1217	11292	7250
1218	11301	7241
1219	11312	7232
1220	11320	7222
1221	11327	7212
1222	11335	7201
1223	11341	7190
1224	11347	7178
1225	11353	7167
1226	11358	7155
1227	11363	7143
1228	11368	7132
1229	11374	7120
1230	11380	7109
1231	11386	7097
1232	11391	7085
1233	11395	7073
1234	11401	7062
1235	11406	7050
1236	11411	7038
1237	11417	7027
1238	11422	7015
1239	11427	7003
1240	11432	6992
1241	11437	6980
1242	11442	6968
1243	11449	6958
1244	11457	6947
1245	11465	6938
1246	11475	6929
1247	11485	6920
1248	11494	6911
1249	11504	6902
1250	11514	6893
1251	11522	6883
1252	11533	6875
1253	11543	6867
1254	11553	6858
1255	11562	6849
1256	11571	6839
1257	11580	6830
1258	11590	6821
1259	11599	6812
1260	11609	6803
1261	11618	6794
1262	11627	6785
1263	11634	6774
1264	11640	6763
1265	11647	6752
1266	11656	6743
1267	11666	6735
1268	11677	6726
1269	11687	6717
1270	11697	6709
1271	11708	6700
1272	11718	6692
1273	11728	6683
1274	11737	6674
1275	11746	6664
1276	11755	6655
1277	11765	6646
1278	11775	6638
1279	11786	6629
1280	11796	6621
1281	11807	6612
1282	11816	6603
1283	11827	6595
1284	11837	6586
1285	11846	6577
1286	11857	6569
1287	11867	6560
1288	11878	6551
1289	11888	6543
1290	11900	6535
1291	11912	6527
1292	11923	6519
1293	11933	6510
1294	11940	6500
1295	11948	6490
1296	11954	6479
1297	11959	6468
1298	11965	6457
1299	11970	6445
1300	11975	6434
1301	11980	6422
1302	11985	6411
1303	11991	6400
1304	11996	6388
1305	12001	6377
1306	12007	6366
1307	12012	6355
1308	12018	6344
1309	12023	6333
1310	12028	6321
1311	12033	6310
1312	12039	6299
1313	12045	6288
1314	12051	6278
1315	12060	6268
1316	12070	6259
1317	12080	6250
1318	12088	6241
1319	12099	6233
1320	12108	6223
1321	12118	6214
1322	12127	6206
1323	12136	6196
1324	12147	6188
1325	12157	6179
1326	12167	6170
1327	12177	6162
1328	12186	6153
1329	12197	6144
1330	12208	6136
1331	12217	6127
1332	12227	6118
1333	12237	6109
1334	12247	6100
1335	12258	6092
1336	12268	6083
1337	12278	6075
1338	12287	6065
1339	12297	6056
1340	12307	6048
1341	12318	6039
1342	12329	6031
1343	12340	6023
1344	12349	6014
1345	12359	6005
1346	12370	5996
1347	12381	5988
1348	12390	5979
1349	12401	5970
1350	12409	5961
1351	12419	5952
1352	12429	5943
1353	12438	5934
1354	12447	5924
1355	12455	5915
1356	12461	5904
1357	12467	5893
1358	12472	5882
1359	12477	5871
1360	12484	5861
1361	12491	5851
1362	12501	5842
1363	12511	5833
1364	12522	5825
1365	12531	5816
1366	12541	5807
1367	12551	5798
1368	12560	5789
1369	12570	5780
1370	12581	5772
1371	12592	5764
1372	12602	5755
1373	12611	5746
1374	12622	5737
1375	12631	5728
1376	12639	5718
1377	12649	5709
1378	12658	5700
1379	12668	5691
1380	12678	5682
1381	12690	5674
1382	12698	5665
1383	12706	5655
1384	12713	5645
1385	12719	5634
1386	12726	5624
1387	12731	5613
1388	12737	5602
1389	12742	5592
1390	12747	5581
1391	12753	5570
1392	12758	5559
1393	12763	5548
1394	12768	5537
1395	12774	5526
1396	12779	5516
1397	12785	5505
1398	12791	5494
1399	12796	5484
1400	12801	5473
1401	12807	5462
1402	12812	5452
1403	12817	5441
1404	12822	5430
1405	12828	5419
1406	12834	5409
1407	12839	5398
1408	12844	5387
1409	12850	5377
1410	12855	5366
1411	12860	5355
1412	12867	5345
1413	12872	5334
1414	12878	5324
1415	12883	5313
1416	12890	5303
1417	12895	5292
1418	12901	5282
1419	12907	5272
1420	12915	5262
1421	12922	5252
1422	12930	5242
1423	12939	5233
1424	12947	5224
1425	12956	5215
1426	12966	5206
1427	12976	5197
1428	12987	5189
1429	12996	5180
1430	13007	5172
1431	13017	5163
1432	13027	5154
1433	13036	5145
1434	13045	5136
1435	13054	5127
1436	13064	5118
1437	13071	5108
1438	13081	5099
1439	13090	5090
1440	13101	5082
1441	13110	5073
1442	13118	5063
1443	13130	5055
1444	13139	5046
1445	13149	5037
1446	13158	5028
1447	13167	5019
1448	13176	5010
1449	13185	5001
1450	13195	4992
1451	13203	4983
1452	13212	4974
1453	13221	4965
1454	13231	4956
1455	13242	4947
1456	13253	4939
1457	13263	4930
1458	13273	4921
1459	13283	4913
1460	13293	4904
1461	13302	4895
1462	13312	4886
1463	13323	4877
1464	13333	4869
1465	13342	4860
1466	13349	4850
1467	13358	4841
1468	13366	4831
1469	13373	4821
1470	13379	4811
1471	13386	4801
1472	13394	4792
1473	13403	4782
1474	13413	4774
1475	13424	4765
1476	13433	4756
1477	13442	4747
1478	13451	4738
1479	13459	4729
1480	13470	4720
1481	13478	4710
1482	13487	4701
1483	13493	4691
1484	13500	4682
1485	13507	4672
1486	13512	4661
1487	13518	4651
1488	13523	4641
1489	13530	4631
1490	13536	4621
1491	13543	4611
1492	13553	4602
1493	13562	4593
1494	13571	4584
1495	13581	4575
1496	13590	4566
1497	13599	4557
1498	13609	4548
1499	13618	4539
1500	13626	4530
1501	13635	4520
1502	13645	4512
1503	13654	4503
1504	13666	4494
1505	13674	4485
1506	13684	4476
1507	13694	4467
1508	13703	4459
1509	13714	4450
1510	13721	4440
1511	13730	4431
1512	13737	4421
1513	13747	4413
1514	13758	4404
1515	13768	4395
1516	13777	4386
1517	13787	4377
1518	13797	4369
1519	13806	4360
1520	13814	4350
1521	13826	4342
1522	13836	4333
1523	13845	4324
1524	13854	4315
1525	13864	4306
1526	13874	4297
1527	13884	4288
1528	13893	4279
1529	13903	4271
1530	13911	4261
1531	13921	4252
1532	13929	4243
1533	13939	4234
1534	13946	4224
1535	13957	4216
1536	13966	4207
1537	13974	4197
1538	13983	4188
1539	13992	4179
1540	14001	4170
1541	14011	4161
1542	14021	4152
1543	14030	4143
1544	14039	4134
1545	14049	4125
1546	14058	4116
1547	14067	4107
1548	14077	4098
1549	14088	4090
1550	14098	4081
1551	14106	4072
1552	14115	4062
1553	14126	4054
1554	14136	4045
1555	14147	4036
1556	14156	4027
1557	14166	4019
1558	14174	4009
1559	14182	4000
1560	14190	3990
1561	14198	3981
1562	14204	3971
1563	14211	3961
1564	14216	3951
1565	14223	3941
1566	14232	3932
1567	14240	3923
1568	14248	3914
1569	14256	3904
1570	14265	3895
1571	14274	3886
1572	14280	3876
1573	14288	3867
1574	14295	3857
1575	14301	3847
1576	14307	3837
1577	14312	3827
1578	14317	3817
1579	14322	3807
1580	14328	3797
1581	14334	3787
1582	14341	3777
1583	14348	3768
1584	14358	3759
1585	14366	3750
1586	14375	3741
1587	14383	3731
1588	14393	3723
1589	14404	3714
1590	14415	3705
1591	14426	3697
1592	14436	3688
1593	14446	3679
1594	14456	3670
1595	14464	3661
1596	14476	3653
1597	14486	3644
